Type,Count,Size,Threshold,Architecture,Mode
Both,0,4,90,CS_ARCH_XCORE,CS_MODE_LITTLE_ENDIAN
Total,10000000,4,90,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Disassembled,5584859,4,90,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Inflated,0,4,90,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Both,0,4,90,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Total,10000000,4,90,CS_ARCH_M68K,CS_MODE_M68K_000
Disassembled,5584187,4,90,CS_ARCH_M68K,CS_MODE_M68K_000
Inflated,0,4,90,CS_ARCH_M68K,CS_MODE_M68K_000
Both,0,4,90,CS_ARCH_M68K,CS_MODE_M68K_000
Total,10000000,4,90,CS_ARCH_M68K,CS_MODE_M68K_010
Disassembled,5595265,4,90,CS_ARCH_M68K,CS_MODE_M68K_010
Inflated,0,4,90,CS_ARCH_M68K,CS_MODE_M68K_010
Both,0,4,90,CS_ARCH_M68K,CS_MODE_M68K_010
Total,10000000,4,90,CS_ARCH_M68K,CS_MODE_M68K_020
Disassembled,6270903,4,90,CS_ARCH_M68K,CS_MODE_M68K_020
Inflated,0,4,90,CS_ARCH_M68K,CS_MODE_M68K_020
Both,0,4,90,CS_ARCH_M68K,CS_MODE_M68K_020
Total,10000000,4,90,CS_ARCH_M68K,CS_MODE_M68K_030
Disassembled,6265515,4,90,CS_ARCH_M68K,CS_MODE_M68K_030
Inflated,0,4,90,CS_ARCH_M68K,CS_MODE_M68K_030
Both,0,4,90,CS_ARCH_M68K,CS_MODE_M68K_030
Total,10000000,4,90,CS_ARCH_M68K,CS_MODE_M68K_040
Disassembled,6306049,4,90,CS_ARCH_M68K,CS_MODE_M68K_040
Inflated,0,4,90,CS_ARCH_M68K,CS_MODE_M68K_040
Both,0,4,90,CS_ARCH_M68K,CS_MODE_M68K_040
Total,10000000,4,90,CS_ARCH_M68K,CS_MODE_M68K_060
Disassembled,6309104,4,90,CS_ARCH_M68K,CS_MODE_M68K_060
Inflated,0,4,90,CS_ARCH_M68K,CS_MODE_M68K_060
Both,0,4,90,CS_ARCH_M68K,CS_MODE_M68K_060
Total,10000000,4,90,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Disassembled,7387828,4,90,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Inflated,0,4,90,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Both,0,4,90,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Total,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_6301
Disassembled,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_6301
Inflated,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_6301
Both,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_6301
Total,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_6309
Disassembled,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_6309
Inflated,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_6309
Both,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_6309
Total,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_6800
Disassembled,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_6800
Inflated,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_6800
Both,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_6800
Total,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_6801
Disassembled,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_6801
Inflated,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_6801
Both,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_6801
Total,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_6805
Disassembled,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_6805
Inflated,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_6805
Both,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_6805
Total,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_6808
Disassembled,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_6808
Inflated,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_6808
Both,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_6808
Total,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_6809
Disassembled,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_6809
Inflated,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_6809
Both,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_6809
Total,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_6811
Disassembled,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_6811
Inflated,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_6811
Both,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_6811
Total,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Disassembled,9951525,4,90,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Inflated,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Both,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Total,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Disassembled,10000000,4,90,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Inflated,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Both,0,4,90,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Total,10000000,4,90,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Disassembled,340992,4,90,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Inflated,0,4,90,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Both,0,4,90,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Total,10000000,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Disassembled,5208708,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Inflated,0,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Both,0,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Total,10000000,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Disassembled,4517279,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Inflated,0,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Both,0,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Total,10000000,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Disassembled,4464921,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Inflated,0,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Both,0,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Total,10000000,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Disassembled,4569031,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Inflated,0,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Both,0,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Total,10000000,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Disassembled,4363633,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Inflated,0,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Both,0,4,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Total,10000000,4,90,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Disassembled,1843884,4,90,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Inflated,0,4,90,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Both,0,4,90,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Total,10000000,4,90,CS_ARCH_RISCV,CS_MODE_RISCVC
Disassembled,5696457,4,90,CS_ARCH_RISCV,CS_MODE_RISCVC
Inflated,0,4,90,CS_ARCH_RISCV,CS_MODE_RISCVC
Both,0,4,90,CS_ARCH_RISCV,CS_MODE_RISCVC
Total,10000000,4,90,CS_ARCH_SH,CS_MODE_SH2
Disassembled,6840158,4,90,CS_ARCH_SH,CS_MODE_SH2
Inflated,0,4,90,CS_ARCH_SH,CS_MODE_SH2
Both,0,4,90,CS_ARCH_SH,CS_MODE_SH2
Total,10000000,4,90,CS_ARCH_SH,CS_MODE_SH3
Disassembled,7140195,4,90,CS_ARCH_SH,CS_MODE_SH3
Inflated,0,4,90,CS_ARCH_SH,CS_MODE_SH3
Both,0,4,90,CS_ARCH_SH,CS_MODE_SH3
Total,10000000,4,90,CS_ARCH_SH,CS_MODE_SH4
Disassembled,7188176,4,90,CS_ARCH_SH,CS_MODE_SH4
Inflated,0,4,90,CS_ARCH_SH,CS_MODE_SH4
Both,0,4,90,CS_ARCH_SH,CS_MODE_SH4
Total,10000000,4,90,CS_ARCH_SH,CS_MODE_SH4A
Disassembled,7205537,4,90,CS_ARCH_SH,CS_MODE_SH4A
Inflated,0,4,90,CS_ARCH_SH,CS_MODE_SH4A
Both,0,4,90,CS_ARCH_SH,CS_MODE_SH4A
Total,10000000,4,90,CS_ARCH_SH,CS_MODE_SHFPU
Disassembled,7433312,4,90,CS_ARCH_SH,CS_MODE_SHFPU
Inflated,0,4,90,CS_ARCH_SH,CS_MODE_SHFPU
Both,0,4,90,CS_ARCH_SH,CS_MODE_SHFPU
Total,10000000,4,90,CS_ARCH_SH,CS_MODE_SHDSP
Disassembled,7406768,4,90,CS_ARCH_SH,CS_MODE_SHDSP
Inflated,0,4,90,CS_ARCH_SH,CS_MODE_SHDSP
Both,0,4,90,CS_ARCH_SH,CS_MODE_SHDSP
Total,10000000,4,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Disassembled,3606122,4,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Inflated,0,4,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Both,0,4,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Total,10000000,4,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Disassembled,4197497,4,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Inflated,0,4,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Both,0,4,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Total,10000000,4,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Disassembled,4204559,4,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Inflated,0,4,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Both,0,4,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Total,10000000,4,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Disassembled,4212871,4,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Inflated,0,4,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Both,0,4,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Total,10000000,4,85,CS_ARCH_ARM,CS_MODE_ARM
Disassembled,8685141,4,85,CS_ARCH_ARM,CS_MODE_ARM
Inflated,0,4,85,CS_ARCH_ARM,CS_MODE_ARM
Both,0,4,85,CS_ARCH_ARM,CS_MODE_ARM
Total,10000000,4,85,CS_ARCH_ARM,CS_MODE_THUMB
Disassembled,8549493,4,85,CS_ARCH_ARM,CS_MODE_THUMB
Inflated,23260,4,85,CS_ARCH_ARM,CS_MODE_THUMB
Both,5550,4,85,CS_ARCH_ARM,CS_MODE_THUMB
Total,10000000,4,85,CS_ARCH_ARM,CS_MODE_MCLASS
Disassembled,8683626,4,85,CS_ARCH_ARM,CS_MODE_MCLASS
Inflated,0,4,85,CS_ARCH_ARM,CS_MODE_MCLASS
Both,0,4,85,CS_ARCH_ARM,CS_MODE_MCLASS
Total,10000000,4,85,CS_ARCH_ARM,CS_MODE_V8
Disassembled,7247450,4,85,CS_ARCH_ARM,CS_MODE_V8
Inflated,0,4,85,CS_ARCH_ARM,CS_MODE_V8
Both,0,4,85,CS_ARCH_ARM,CS_MODE_V8
Total,10000000,4,85,CS_ARCH_MIPS,CS_MODE_32
Disassembled,6212373,4,85,CS_ARCH_MIPS,CS_MODE_32
Inflated,0,4,85,CS_ARCH_MIPS,CS_MODE_32
Both,0,4,85,CS_ARCH_MIPS,CS_MODE_32
Total,10000000,4,85,CS_ARCH_MIPS,CS_MODE_64
Disassembled,7972057,4,85,CS_ARCH_MIPS,CS_MODE_64
Inflated,0,4,85,CS_ARCH_MIPS,CS_MODE_64
Both,0,4,85,CS_ARCH_MIPS,CS_MODE_64
Total,10000000,4,85,CS_ARCH_X86,CS_MODE_32
Disassembled,3142624,4,85,CS_ARCH_X86,CS_MODE_32
Inflated,0,4,85,CS_ARCH_X86,CS_MODE_32
Both,0,4,85,CS_ARCH_X86,CS_MODE_32
Total,10000000,4,85,CS_ARCH_X86,CS_MODE_64
Disassembled,2227897,4,85,CS_ARCH_X86,CS_MODE_64
Inflated,0,4,85,CS_ARCH_X86,CS_MODE_64
Both,0,4,85,CS_ARCH_X86,CS_MODE_64
Total,10000000,4,85,CS_ARCH_PPC,CS_MODE_32
Disassembled,7692010,4,85,CS_ARCH_PPC,CS_MODE_32
Inflated,0,4,85,CS_ARCH_PPC,CS_MODE_32
Both,0,4,85,CS_ARCH_PPC,CS_MODE_32
Total,10000000,4,85,CS_ARCH_PPC,CS_MODE_64
Disassembled,7691858,4,85,CS_ARCH_PPC,CS_MODE_64
Inflated,0,4,85,CS_ARCH_PPC,CS_MODE_64
Both,0,4,85,CS_ARCH_PPC,CS_MODE_64
Total,10000000,4,85,CS_ARCH_PPC,CS_MODE_QPX
Disassembled,7727870,4,85,CS_ARCH_PPC,CS_MODE_QPX
Inflated,0,4,85,CS_ARCH_PPC,CS_MODE_QPX
Both,0,4,85,CS_ARCH_PPC,CS_MODE_QPX
Total,10000000,4,85,CS_ARCH_PPC,CS_MODE_PS
Disassembled,8049644,4,85,CS_ARCH_PPC,CS_MODE_PS
Inflated,0,4,85,CS_ARCH_PPC,CS_MODE_PS
Both,0,4,85,CS_ARCH_PPC,CS_MODE_PS
Total,10000000,4,85,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Disassembled,3491392,4,85,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Inflated,0,4,85,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Both,0,4,85,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Total,10000000,4,85,CS_ARCH_XCORE,CS_MODE_LITTLE_ENDIAN
Disassembled,8229326,4,85,CS_ARCH_XCORE,CS_MODE_LITTLE_ENDIAN
Inflated,0,4,85,CS_ARCH_XCORE,CS_MODE_LITTLE_ENDIAN
Both,0,4,85,CS_ARCH_XCORE,CS_MODE_LITTLE_ENDIAN
Total,10000000,4,85,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Disassembled,5584242,4,85,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Inflated,0,4,85,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Both,0,4,85,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Total,10000000,4,85,CS_ARCH_M68K,CS_MODE_M68K_000
Disassembled,5584955,4,85,CS_ARCH_M68K,CS_MODE_M68K_000
Inflated,0,4,85,CS_ARCH_M68K,CS_MODE_M68K_000
Both,0,4,85,CS_ARCH_M68K,CS_MODE_M68K_000
Total,10000000,4,85,CS_ARCH_M68K,CS_MODE_M68K_010
Disassembled,5598487,4,85,CS_ARCH_M68K,CS_MODE_M68K_010
Inflated,0,4,85,CS_ARCH_M68K,CS_MODE_M68K_010
Both,0,4,85,CS_ARCH_M68K,CS_MODE_M68K_010
Total,10000000,4,85,CS_ARCH_M68K,CS_MODE_M68K_020
Disassembled,6269531,4,85,CS_ARCH_M68K,CS_MODE_M68K_020
Inflated,0,4,85,CS_ARCH_M68K,CS_MODE_M68K_020
Both,0,4,85,CS_ARCH_M68K,CS_MODE_M68K_020
Total,10000000,4,85,CS_ARCH_M68K,CS_MODE_M68K_030
Disassembled,6265216,4,85,CS_ARCH_M68K,CS_MODE_M68K_030
Inflated,0,4,85,CS_ARCH_M68K,CS_MODE_M68K_030
Both,0,4,85,CS_ARCH_M68K,CS_MODE_M68K_030
Total,10000000,4,85,CS_ARCH_M68K,CS_MODE_M68K_040
Disassembled,6308082,4,85,CS_ARCH_M68K,CS_MODE_M68K_040
Inflated,0,4,85,CS_ARCH_M68K,CS_MODE_M68K_040
Both,0,4,85,CS_ARCH_M68K,CS_MODE_M68K_040
Total,10000000,4,85,CS_ARCH_M68K,CS_MODE_M68K_060
Disassembled,6309953,4,85,CS_ARCH_M68K,CS_MODE_M68K_060
Inflated,0,4,85,CS_ARCH_M68K,CS_MODE_M68K_060
Both,0,4,85,CS_ARCH_M68K,CS_MODE_M68K_060
Total,10000000,4,85,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Disassembled,7386894,4,85,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Inflated,0,4,85,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Both,0,4,85,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Total,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_6301
Disassembled,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_6301
Inflated,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_6301
Both,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_6301
Total,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_6309
Disassembled,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_6309
Inflated,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_6309
Both,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_6309
Total,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_6800
Disassembled,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_6800
Inflated,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_6800
Both,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_6800
Total,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_6801
Disassembled,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_6801
Inflated,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_6801
Both,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_6801
Total,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_6805
Disassembled,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_6805
Inflated,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_6805
Both,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_6805
Total,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_6808
Disassembled,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_6808
Inflated,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_6808
Both,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_6808
Total,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_6809
Disassembled,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_6809
Inflated,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_6809
Both,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_6809
Total,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_6811
Disassembled,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_6811
Inflated,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_6811
Both,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_6811
Total,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Disassembled,9951326,4,85,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Inflated,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Both,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Total,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Disassembled,10000000,4,85,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Inflated,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Both,0,4,85,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Total,10000000,4,85,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Disassembled,341187,4,85,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Inflated,0,4,85,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Both,0,4,85,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Total,10000000,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Disassembled,5210310,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Inflated,0,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Both,0,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Total,10000000,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Disassembled,4512896,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Inflated,0,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Both,0,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Total,10000000,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Disassembled,4460770,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Inflated,0,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Both,0,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Total,10000000,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Disassembled,4570625,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Inflated,0,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Both,0,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Total,10000000,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Disassembled,4359124,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Inflated,0,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Both,0,4,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Total,10000000,4,85,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Disassembled,1845041,4,85,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Inflated,0,4,85,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Both,0,4,85,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Total,10000000,4,85,CS_ARCH_RISCV,CS_MODE_RISCVC
Disassembled,5693029,4,85,CS_ARCH_RISCV,CS_MODE_RISCVC
Inflated,0,4,85,CS_ARCH_RISCV,CS_MODE_RISCVC
Both,0,4,85,CS_ARCH_RISCV,CS_MODE_RISCVC
Total,10000000,4,85,CS_ARCH_SH,CS_MODE_SH2
Disassembled,6844525,4,85,CS_ARCH_SH,CS_MODE_SH2
Inflated,0,4,85,CS_ARCH_SH,CS_MODE_SH2
Both,0,4,85,CS_ARCH_SH,CS_MODE_SH2
Total,10000000,4,85,CS_ARCH_SH,CS_MODE_SH3
Disassembled,7137219,4,85,CS_ARCH_SH,CS_MODE_SH3
Inflated,0,4,85,CS_ARCH_SH,CS_MODE_SH3
Both,0,4,85,CS_ARCH_SH,CS_MODE_SH3
Total,10000000,4,85,CS_ARCH_SH,CS_MODE_SH4
Disassembled,7189296,4,85,CS_ARCH_SH,CS_MODE_SH4
Inflated,0,4,85,CS_ARCH_SH,CS_MODE_SH4
Both,0,4,85,CS_ARCH_SH,CS_MODE_SH4
Total,10000000,4,85,CS_ARCH_SH,CS_MODE_SH4A
Disassembled,7206528,4,85,CS_ARCH_SH,CS_MODE_SH4A
Inflated,0,4,85,CS_ARCH_SH,CS_MODE_SH4A
Both,0,4,85,CS_ARCH_SH,CS_MODE_SH4A
Total,10000000,4,85,CS_ARCH_SH,CS_MODE_SHFPU
Disassembled,7433475,4,85,CS_ARCH_SH,CS_MODE_SHFPU
Inflated,0,4,85,CS_ARCH_SH,CS_MODE_SHFPU
Both,0,4,85,CS_ARCH_SH,CS_MODE_SHFPU
Total,10000000,4,85,CS_ARCH_SH,CS_MODE_SHDSP
Disassembled,7407343,4,85,CS_ARCH_SH,CS_MODE_SHDSP
Inflated,0,4,85,CS_ARCH_SH,CS_MODE_SHDSP
Both,0,4,85,CS_ARCH_SH,CS_MODE_SHDSP
Total,10000000,4,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Disassembled,3605135,4,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Inflated,0,4,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Both,0,4,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Total,10000000,4,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Disassembled,4201566,4,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Inflated,0,4,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Both,0,4,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Total,10000000,4,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Disassembled,4205617,4,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Inflated,0,4,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Both,0,4,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Total,10000000,4,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Disassembled,4217531,4,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Inflated,0,4,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Both,0,4,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Total,10000000,4,80,CS_ARCH_ARM,CS_MODE_ARM
Disassembled,8683381,4,80,CS_ARCH_ARM,CS_MODE_ARM
Inflated,0,4,80,CS_ARCH_ARM,CS_MODE_ARM
Both,0,4,80,CS_ARCH_ARM,CS_MODE_ARM
Total,10000000,4,80,CS_ARCH_ARM,CS_MODE_THUMB
Disassembled,8549730,4,80,CS_ARCH_ARM,CS_MODE_THUMB
Inflated,23667,4,80,CS_ARCH_ARM,CS_MODE_THUMB
Both,5686,4,80,CS_ARCH_ARM,CS_MODE_THUMB
Total,10000000,4,80,CS_ARCH_ARM,CS_MODE_MCLASS
Disassembled,8685814,4,80,CS_ARCH_ARM,CS_MODE_MCLASS
Inflated,0,4,80,CS_ARCH_ARM,CS_MODE_MCLASS
Both,0,4,80,CS_ARCH_ARM,CS_MODE_MCLASS
Total,10000000,4,80,CS_ARCH_ARM,CS_MODE_V8
Disassembled,7246793,4,80,CS_ARCH_ARM,CS_MODE_V8
Inflated,0,4,80,CS_ARCH_ARM,CS_MODE_V8
Both,0,4,80,CS_ARCH_ARM,CS_MODE_V8
Total,10000000,4,80,CS_ARCH_MIPS,CS_MODE_32
Disassembled,6210569,4,80,CS_ARCH_MIPS,CS_MODE_32
Inflated,0,4,80,CS_ARCH_MIPS,CS_MODE_32
