Type,Count,Size,Threshold,Architecture,Mode
Inflated,0,2,100,CS_ARCH_M68K,CS_MODE_M68K_040
Both,0,2,100,CS_ARCH_M68K,CS_MODE_M68K_040
Total,10000000,2,100,CS_ARCH_M68K,CS_MODE_M68K_060
Disassembled,7471764,2,100,CS_ARCH_M68K,CS_MODE_M68K_060
Inflated,0,2,100,CS_ARCH_M68K,CS_MODE_M68K_060
Both,0,2,100,CS_ARCH_M68K,CS_MODE_M68K_060
Total,10000000,2,100,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Disassembled,0,2,100,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Inflated,0,2,100,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Both,0,2,100,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Total,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_6301
Disassembled,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_6301
Inflated,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_6301
Both,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_6301
Total,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_6309
Disassembled,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_6309
Inflated,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_6309
Both,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_6309
Total,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_6800
Disassembled,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_6800
Inflated,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_6800
Both,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_6800
Total,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_6801
Disassembled,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_6801
Inflated,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_6801
Both,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_6801
Total,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_6805
Disassembled,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_6805
Inflated,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_6805
Both,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_6805
Total,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_6808
Disassembled,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_6808
Inflated,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_6808
Both,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_6808
Total,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_6809
Disassembled,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_6809
Inflated,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_6809
Both,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_6809
Total,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_6811
Disassembled,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_6811
Inflated,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_6811
Both,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_6811
Total,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Disassembled,9936837,2,100,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Inflated,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Both,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Total,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Disassembled,10000000,2,100,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Inflated,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Both,0,2,100,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Total,10000000,2,100,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Disassembled,1626863,2,100,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Inflated,0,2,100,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Both,0,2,100,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Total,10000000,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Disassembled,5409472,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Inflated,0,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Both,0,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Total,10000000,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Disassembled,5234850,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Inflated,0,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Both,0,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Total,10000000,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Disassembled,5031637,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Inflated,0,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Both,0,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Total,10000000,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Disassembled,5183954,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Inflated,0,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Both,0,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Total,10000000,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Disassembled,4876189,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Inflated,0,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Both,0,2,100,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Total,10000000,2,100,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Disassembled,3185476,2,100,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Inflated,0,2,100,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Both,0,2,100,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Total,10000000,2,100,CS_ARCH_RISCV,CS_MODE_RISCVC
Disassembled,7092337,2,100,CS_ARCH_RISCV,CS_MODE_RISCVC
Inflated,0,2,100,CS_ARCH_RISCV,CS_MODE_RISCVC
Both,0,2,100,CS_ARCH_RISCV,CS_MODE_RISCVC
Total,10000000,2,100,CS_ARCH_SH,CS_MODE_SH2
Disassembled,8270246,2,100,CS_ARCH_SH,CS_MODE_SH2
Inflated,0,2,100,CS_ARCH_SH,CS_MODE_SH2
Both,0,2,100,CS_ARCH_SH,CS_MODE_SH2
Total,10000000,2,100,CS_ARCH_SH,CS_MODE_SH3
Disassembled,8449117,2,100,CS_ARCH_SH,CS_MODE_SH3
Inflated,0,2,100,CS_ARCH_SH,CS_MODE_SH3
Both,0,2,100,CS_ARCH_SH,CS_MODE_SH3
Total,10000000,2,100,CS_ARCH_SH,CS_MODE_SH4
Disassembled,8478484,2,100,CS_ARCH_SH,CS_MODE_SH4
Inflated,0,2,100,CS_ARCH_SH,CS_MODE_SH4
Both,0,2,100,CS_ARCH_SH,CS_MODE_SH4
Total,10000000,2,100,CS_ARCH_SH,CS_MODE_SH4A
Disassembled,8488194,2,100,CS_ARCH_SH,CS_MODE_SH4A
Inflated,0,2,100,CS_ARCH_SH,CS_MODE_SH4A
Both,0,2,100,CS_ARCH_SH,CS_MODE_SH4A
Total,10000000,2,100,CS_ARCH_SH,CS_MODE_SHFPU
Disassembled,8623375,2,100,CS_ARCH_SH,CS_MODE_SHFPU
Inflated,0,2,100,CS_ARCH_SH,CS_MODE_SHFPU
Both,0,2,100,CS_ARCH_SH,CS_MODE_SHFPU
Total,10000000,2,100,CS_ARCH_SH,CS_MODE_SHDSP
Disassembled,8542534,2,100,CS_ARCH_SH,CS_MODE_SHDSP
Inflated,0,2,100,CS_ARCH_SH,CS_MODE_SHDSP
Both,0,2,100,CS_ARCH_SH,CS_MODE_SHDSP
