Type,Count,Size,Threshold,Architecture,Mode
Total,1000000000,128,100,CS_ARCH_ARM,CS_MODE_THUMB
Disassembled,44724849,128,100,CS_ARCH_ARM,CS_MODE_THUMB
Decompressed,40056259,128,100,CS_ARCH_ARM,CS_MODE_THUMB
Both,12543383,128,100,CS_ARCH_ARM,CS_MODE_THUMB
